엊그제	엊그제/NNG
퇴근길에	퇴근길/NNG + 에/JKB
온	온/MM
서울의	서울/NNP + 의/JKG
교통망이	교통망/NNG + 이/JKS
마비되었다.	마비/NNG + 되/XSV + 었/EP + 다/EF + ./SF

하룻밤	하룻밤/NNG
지난	지나/VV + ㄴ/ETM
어제	어제/NNG
아침의	아침/NNG + 의/JKG
출근길도	출근길/NNG + 도/JX
난장판이었다.	난장판/NNG + 이/VCP + 었/EP + 다/EF + ./SF

그건	그것/NP + ㄴ/JX
모두가	모두/NNG + 가/JKS
두	두/MM
손을	손/NNG + 을/JKO
들	들/VV + ㄹ/ETM
정도로	정도/NNG + 로/JKB
대단한	대단/XR + 하/XSA + ㄴ/ETM
천재	천재/NNG
탓은	탓/NNG + 은/JX
아니었다.	아니/VCN + 었/EP + 다/EF + ./SF

고작	고작/MAG
3㎝	3/SN + ㎝/SW
정도밖에	정도/NNG + 밖에/JX
되지	되/VV + 지/EC
않는	않/VX + 는/ETM
눈이었다.	눈/NNG + 이/VCP + 었/EP + 다/EF + ./SF

그나마	그나마/MAG
한시간	한/MM + 시간/NNG
남짓밖에	남짓/NNB + 밖에/JX
뿌리지	뿌리/VV + 지/EC
않았다.	않/VX + 았/EP + 다/EF + ./SF

책임	책임/NNG
있는	있/VV + 는/ETM
사람들이	사람/NNG + 들/XSN + 이/JKS
제때에	제때/NNG + 에/JKB
적절한	적절/XR + 하/XSA + ㄴ/ETM
손만	손/NNG + 만/JX
썼더라도	쓰/VA + 었/EP + 더라도/EC
그렇게까지	그렇/VA + 게/EC + 까지/JX
시민들이	시민/NNG + 들/XSN + 이/JKS
고생하지는	고생/NNG + 하/XSV + 지/EC + 는/JX
않았을	않/VX + 았/EP + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이날	이날/NNG
기상청이	기상청/NNG + 이/JKS
큰	크/VA + ㄴ/ETM
눈을	눈/NNG + 을/JKO
예보하기도	예보/NNG + 하/XSV + 기/ETN + 도/JX
했었다.	하/VX + 았었/EP + 다/EF + ./SF

그러나,	그러나/MAJ + ,/SP
눈이	눈/NNG + 이/JKS
고갯길을	고갯길/NNG + 을/JKO
덮기	덮/VV + 기/ETN
시작했는데도	시작/NNG + 하/XSV + 았/EP + 는데/EC + 도/JX
제설차는	제설차/NNG + 는/JX
차고	차고/NNG
속에서	속/NNG + 에서/JKB
움직이지	움직이/VV + 지/EC
않았다.	않/VX + 았/EP + 다/EF + ./SF

명색이	명색/NNG + 이/JKS
서울하고도	서울/NNP + 하고/JC + 도/JX
특별시요,	특별시/NNG + 이/VCP + 요/EC + ,/SP
수도이다.	수도/NNG + 이/VCP + 다/EF + ./SF

제설차가	제설차/NNG + 가/JKS
마련되어	마련/NNG + 되/XSV + 어/EC
있지	있/VX + 지/EC
않을	않/VX + 을/ETM
턱이	턱/NNB + 이/JKS
없다.	없/VA + 다/EF + ./SF

그게	그것/NP + 이/JKS
없었다면	없/VA + 었/EP + 다면/EC
망신이요,	망신/NNG + 이/VCP + 요/EC + ,/SP
있는	있/VV + 는/ETM
데도	데/NNB + 도/JX
안	안/MAG
썼다면	쓰/VA + 었/EP + 다면/EC
이만저만	이만저만/MAG
무책임한	무/XPN + 책임/NNG + 하/XSA + ㄴ/ETM
일이	일/NNG + 이/JKC
아니었다.	아니/VCN + 었/EP + 다/EF + ./SF

눈길을	눈길/NNG + 을/JKO
녹이기	녹이/VV + 기/ETN
위한	위하/VV + ㄴ/ETM
염화칼슘도	염화칼슘/NNG + 도/JX
25㎏들이가	25/SN + ㎏/SW + 들이/XSN + 가/JKS
20만	20/SN + 만/NR
부대나	부대/NNG + 나/JX
있었다.	있/VV + 었/EP + 다/EF + ./SF

그걸	그것/NP + ㄹ/JKO
모두	모두/MAG
서울시는	서울시/NNP + 는/JX
제때에	제때/NNG + 에/JKB
쓰지	쓰/VV + 지/EC
않았다.	않/VX + 았/EP + 다/EF + ./SF

모래를	모래/NNG + 를/JKO
뿌리는	뿌리/VV + 는/ETM
직원	직원/NNG
모습은	모습/NNG + 은/JX
서울의	서울/NNP + 의/JKG
어느	어느/MM
거리에서도	거리/NNG + 에서/JKB + 도/JX
보이지	보이/VV + 지/EC
않았다.	않/VX + 았/EP + 다/EF + ./SF

시청에는	시청/NNG + 에/JKB + 는/JX
버젓이	버젓이/MAG
설해	설해/NNG
대책	대책/NNG
본부라는	본부/NNG + 이/VCP + 라는/ETM
것도	것/NNB + 도/JX
있는	있/VV + 는/ETM
모양이다.	모양/NNG + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
