서울	서울/NNP
용산구	용산구/NNP
후암동	후암동/NNP
자기	자기/NP
집에	집/NNG + 에/JKB
'무지개	'/SS + 무지개/NNG
어린이	어린이/NNG
궁전'	궁전/NNG + '/SS
어린이집을	어린이집/NNG + 을/JKO
운영하고	운영/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
김계동	김계동/NNP
씨(38).	씨/NNB + (/SS + 38/SN + )/SS + ./SF

김씨의	김/NNP + 씨/NNB + 의/JKG
29	29/SN
개월	개월/NNB
난	나/VV + ㄴ/ETM
딸과	딸/NNG + 과/JC
15	15/SN
개월	개월/NNB
된	되/VV + ㄴ/ETM
올케	올케/NNG
네	네/XSN
아들을	아들/NNG + 을/JKO
비롯,	비롯/XR + ,/SP
생후	생후/NNG
5	5/SN
개월	개월/NNB
짜리부터	짜리/XSN + 부터/JX
3살까지	3/SN + 살/NNB + 까지/JX
14	14/SN
명의	명/NNB + 의/JKG
아기가	아기/NNG + 가/JKS
있는	있/VV + 는/ETM
이	이/MM
집은	집/NNG + 은/JX
새로운	새롭/VA + ㄴ/ETM
형태의	형태/NNG + 의/JKG
'확대	'/SS + 확대/NNG
가족'이다.	가족/NNG + '/SS + 이/VCP + 다/EF + ./SF

보육	보육/NNG
교사	교사/NNG
자격을	자격/NNG + 을/JKO
딴	따/VV + ㄴ/ETM
김씨의	김/NNP + 씨/NNB + 의/JKG
친구	친구/NNG
김윤주	김윤주/NNP
씨(38)가	씨/NNB + (/SS + 38/SN + )/SS + 가/JKS
원장,	원장/NNG + ,/SP
보조교사로	보조/NNG + 교사/NNG + 로/JKB
친정	친정/NNG
올케,	올케/NNG + ,/SP
시어머니와	시어머니/NNG + 와/JC
친정어머니	친정어머니/NNG
등	등/NNB
다섯이	다섯/NR + 이/JKS
저마다	저마다/MAG
역할을	역할/NNG + 을/JKO
나누어	나누/VV + 어/EC
맡고	맡/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

김윤주	김윤주/NNP
씨가	씨/NNB + 가/JKS
24	24/SN
개월	개월/NNB
이후	이후/NNG
아기들의	아기/NNG + 들/XSN + 의/JKG
보육과	보육/NNG + 과/JC
행정	행정/NNG
업무를	업무/NNG + 를/JKO
맡고	맡/VV + 고/EC
올케와	올케/NNG + 와/JC
김씨가	김/NNP + 씨/NNB + 가/JKS
아직	아직/MAG
젖을	젖/NNG + 을/JKO
먹는	먹/VV + 는/ETM
