재야인사로	재야인사/NNG + 로/JKB
새정부의	새/MM + 정부/NNG + 의/JKG
청와대	청와대/NNP
사회	사회/NNG
문화	문화/NNG
수석에	수석/NNG + 에/JKB
전격	전격/NNG
발탁된	발탁/NNG + 되/XSV + ㄴ/ETM
김정남씨(51)는	김정남/NNP + 씨/NNB + (/SS + 51/SN + )/SS + 는/JX
투쟁의	투쟁/NNG + 의/JKG
전면에	전면/NNG + 에/JKB
나서기보다는	나서/VV + 기/ETN + 보다/JKB + 는/JX
뒤에서	뒤/NNG + 에서/JKB
궂은	궂/VA + 은/ETM
일을	일/NNG + 을/JKO
도맡아	도맡/VV + 아/EC
온	오/VX + ㄴ/ETM
재야의	재야/NNG + 의/JKG
숨은	숨/VV + 은/ETM
일꾼이었다.	일/NNG + 꾼/XSN + 이/VCP + 었/EP + 다/EF + ./SF

재야	재야/NNG
인사들이	인사/NNG + 들/XSN + 이/JKS
수배당하면	수배/NNG + 당하/XSV + 면/EC
그들을	그/NP + 들/XSN + 을/JKO
숨겨주고	숨기/VV + 어/EC + 주/VX + 고/EC
변호사	변호사/NNG
알선	알선/NNG
등	등/NNB
뒷바라지를	뒷바라지/NNG + 를/JKO
하는	하/VV + 는/ETM
게	것/NNB + 이/JKS
그의	그/NP + 의/JKG
주된	주되/VV + ㄴ/ETM
'임무'였다.	'/SS + 임무/NNG + '/SS + 이/VCP + 었/EP + 다/EF + ./SF

그런	그런/MM
인연으로	인연/NNG + 으로/JKB
가까이	가까이/MAG
지내온	지내/VV + 어/EC + 오/VX + ㄴ/ETM
사람들만	사람/NNG + 들/XSN + 만/JX
해도	하/VV + 아도/EC
고	고/MM
조영래	조영래/NNP
변호사와	변호사/NNG + 와/JC
이부영	이부영/NNP
민주당	민주당/NNP
최고	최고/NNG
위원,	위원/NNG + ,/SP
장기표	장기표/NNP
전	전/MM
민중당	민중당/NNP
정책위	정책위/NNG
의장,	의장/NNG + ,/SP
시인	시인/NNG
김지하	김지하/NNP
씨	씨/NNB
등	등/NNB
수	수/NNG
없이	없이/MAG
많다.	많/VA + 다/EF + ./SF

그는	그/NP + 는/JX
재야의	재야/NNG + 의/JKG
'무소속'으로	'/SS + 무/XPN + 소속/NNG + '/SS + 으로/JKB
통한다.	통하/VV + ㄴ다/EF + ./SF

대학	대학/NNG
졸업	졸업/NNG
후	후/NNG
지금까지	지금/NNG + 까지/JX
26년간	26/SN + 년/NNB + 간/NNG
재야	재야/NNG
운동권에	운동/NNG + 권/XSN + 에/JKB
몸담아	몸담/VV + 아/EC
왔으면서도	오/VX + 았/EP + 으면서/EC + 도/JX
민통련이나	민통련/NNG + 이나/JC
전민련	전민련/NNP
등	등/NNB
특정	특정/NNG
단체에	단체/NNG + 에/JKB
소속되지	소속/NNG + 되/XSV + 지/EC
않고	않/VX + 고/EC
막후에서	막후/NNG + 에서/JKB
재야	재야/NNG
결속을	결속/NNG + 을/JKO
위해	위하/VV + 아/EC
일했다.	일/NNG + 하/XSV + 았/EP + 다/EF + ./SF

지난	지나/VV + ㄴ/ETM
89년	89/SN + 년/NNB
8월	8/SN + 월/NNB
영등포을	영등포/NNP + 을/NNG
재선거에서	재/XPN + 선거/NNG + 에서/JKB
고영구	고영구/NNP
변호사를	변호사/NNG + 를/JKO
'범민주	'/SS + 범/XPN + 민주/NNG
후보'로	후보/NNG + '/SS + 로/JKB
내세웠던	내세우/VV + 었/EP + 던/ETM
것도	것/NNB + 도/JX
그의	그/NP + 의/JKG
작품으로	작품/NNG + 으로/JKB
알려져	알리/VV + 어/EC + 지/VX + 어/EC
있다.	있/VX + 다/EF + ./SF

그래선지	그렇/VA + 어서/EC + 이/VCP + ㄴ지/EC
스스로는	스스로/NNG + 는/JX
"그동안	"/SS + 그동안/NNG
익명의	익명/NNG + 의/JKG
세월을	세월/NNG + 을/JKO
살아	살/VV + 아/EC
왔다"고	오/VX + 았/EP + 다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그	그/MM
같은	같/VA + 은/ETM
막후	막후/NNG
조정역은	조정/NNG + 역/NNG + 은/JX
평소	평소/NNG
재야원로,	재야/NNG + 원로/NNG + ,/SP
진보적인	진보/NNG + 적/XSN + 이/VCP + ㄴ/ETM
변호사	변호사/NNG
그룹,	그룹/NNG + ,/SP
소장파	소장파/NNG
야당	야당/NNG
의원	의원/NNG
등과	등/NNB + 과/JKB
폭넓은	폭넓/VA + 은/ETM
교분을	교분/NNG + 을/JKO
맺어	맺/VV + 어/EC
왔기	오/VX + 았/EP + 기/ETN
때문에	때문/NNB + 에/JKB
가능했다.	가능/NNG + 하/XSA + 았/EP + 다/EF + ./SF

그는	그/NP + 는/JX
특히	특히/MAG
지학순	지학순/NNP
주교,	주교/NNG + ,/SP
이돈명	이돈명/NNP
전	전/MM
조선대총장	조선대/NNP + 총장/NNG
등과	등/NNB + 과/JKB
각별한	각별/NNG + 하/XSA + ㄴ/ETM
사이라고	사이/NNG + 이/VCP + 라고/EC
한다.	하/VV + ㄴ다/EF + ./SF

74년	74/SN + 년/NNB
민청	민청/NNG
학련	학련/NNP
사건으로	사건/NNG + 으로/JKB
구속된	구속/NNG + 되/XSV + ㄴ/ETM
김지하	김지하/NNP
씨의	씨/NNB + 의/JKG
구명	구명/NNG
운동을	운동/NNG + 을/JKO
계기로	계기/NNG + 로/JKB
천주교	천주교/NNG
사회	사회/NNG
운동과	운동/NNG + 과/JKB
깊은	깊/VA + 은/ETM
연관을	연관/NNG + 을/JKO
맺은	맺/VV + 은/ETM
결과다.	결과/NNG + 이/VCP + 다/EF + ./SF

대전출신인	대전/NNP + 출신/NNG + 이/VCP + ㄴ/ETM
그는	그/NP + 는/JX
64년	64/SN + 년/NNB
서울대	서울대/NNP
정치학과	정치학/NNG + 과/NNG
재학	재학/NNG
시절	시절/NNG
한-일	한/NNP + -/SS + 일/NNP
회담	회담/NNG
반대	반대/NNG
시위의	시위/NNG + 의/JKG
배후로	배후/NNG + 로/JKB
지목돼	지목/NNG + 되/XSV + 어/EC
'반공법위반'으로	'/SS + 반공법/NNG + 위반/NNG + '/SS + 으로/JKB
구속됐던	구속/NNG + 되/XSV + 었/EP + 던/ETM
6.3세대.	6/SN + ./SP + 3/SN + 세대/NNG + ./SF

당시	당시/NNG
그는	그/NP + 는/JX
대학	대학/NNG
2년	2/SN + 년/NNB
선배인	선배/NNG + 이/VCP + ㄴ/ETM
김정강	김정강/NNP
전	전/MM
민주당	민주당/NNP
당무	당무/NNG
위원	위원/NNG
등이	등/NNB + 이/JKS
주도하던	주도/NNG + 하/XSV + 던/ETM
'불꽃회'사건(민비연과는	'/SS + 불꽃회/NNP + '/SS + 사건/NNG + (/SS + 민비연/NNP + 과/JKB + 는/JX
별개)에	별개/NNG + )/SS + 에/JKB
연루돼	연루/NNG + 되/XSV + 어/EC
투옥됐다.	투옥/NNG + 되/XSV + 었/EP + 다/EF + ./SF

정치학과	정치학/NNG + 과/NNG
61학	61/SN + 학/NNG
번	번/NNB
동기인	동기/NNG + 이/VCP + ㄴ/ETM
김중태	김중태/NNP
현승일	현승일/NNP
김도현	김도현/NNP
김학준	김학준/NNP
이부영	이부영/NNP
씨,	씨/NNB + ,/SP
사회학과	사회학/NNG + 과/NNG
61학번인	61/SN + 학번/NNG + 이/VCP + ㄴ/ETM
김덕용	김덕용/NNP
의원,	의원/NNG + ,/SP
정치학과	정치학/NNG + 과/NNG
60학번인	60/SN + 학번/NNG + 이/VCP + ㄴ/ETM
이종율	이종율/NNP
전	전/MM
의원	의원/NNG
등과	등/NNB + 과/JKB
6·3세대의	6/SN + ·/SP + 3/SN + 세대/NNG + 의/JKG
대표	대표/NNG
주자로	주자/NNG + 로/JKB
꼽히고	꼽히/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

66년	66/SN + 년/NNB
대학	대학/NNG
졸업	졸업/NNG
후	후/NNG
졸곧	졸곧/NNP
재야에서	재야/NNG + 에서/JKB
3선	3/SN + 선/NNB
개헌과	개헌/NNG + 과/JC
유신	유신/NNG
반대	반대/NNG
등	등/NNB
반독재	반/XPN + 독재/NNG
투쟁을	투쟁/NNG + 을/JKO
벌여	벌이/VV + 어/EC
온	오/VX + ㄴ/ETM
그가	그/NP + 가/JKS
김영삼	김영삼/NNP
대통령과	대통령/NNG + 과/JKB
