"내일	"/SS + 내일/NNG
아침	아침/NNG
금강산	금강산/NNP
관광선이	관광선/NNG + 이/JKS
떠난다고	떠나/VV + ㄴ다고/EC
하는데	하/VV + 는데/EC
말이	말/NNG + 이/JKC
되느냐.	되/VV + 느냐/EF + ./SF

북한이	북한/NNP + 이/JKS
우리에게	우리/NP + 에게/JKB
총을	총/NNG + 을/JKO
쏘고	쏘/VV + 고/EC
장병이	장병/NNG + 이/JKS
죽어가는데	죽/VV + 어/EC + 가/VX + 는데/EC
무슨	무슨/MM
북한	북한/NNP
관광이냐."	관광/NNG + 이/VCP + 냐/EF + ./SF + "/SS

"김대중	"/SS + 김대중/NNP
대통령이	대통령/NNG + 이/JKS
서해	서해/NNP
교전에도	교전/NNG + 에/JKB + 도/JX
불구하고	불구/XR + 하/XSV + 고/EC
내일	내일/NNG
일본에	일본/NNP + 에/JKB
축구구경	축구/NNG + 구경/NNG
간다는	가/VV + ㄴ다는/ETM
게	것/NNB + 이/JKS
사실이냐.	사실/NNG + 이/VCP + 냐/EF + ./SF

도저히	도저히/MAG
믿기지	믿기/VV + 지/EC
않아	않/VX + 아/EC
전화한다."	전화/NNG + 하/XSV + ㄴ다/EF + ./SF + "/SS

북한의	북한/NNP + 의/JKG
서해도발이	서해/NNP + 도발/NNG + 이/JKS
발생한	발생/NNG + 하/XSV + ㄴ/ETM
지난	지나/VV + ㄴ/ETM
29일과	29/SN + 일/NNB + 과/JC
이튿날인	이튿날/NNG + 이/VCP + ㄴ/ETM
30일,	30/SN + 일/NNB + ,/SP
신문사에는	신문사/NNG + 에/JKB + 는/JX
격분한	격분/NNG + 하/XSV + ㄴ/ETM
독자들의	독자/NNG + 들/XSN + 의/JKG
항의전화와	항의/NNG + 전화/NNG + 와/JC
이메일이	이메일/NNG + 이/JKS
종일	종일/NNG
빗발쳤다.	빗발치/VV + 었/EP + 다/EF + ./SF

온	온/MM
국민이	국민/NNG + 이/JKS
월드컵	월드컵/NNG
성공의	성공/NNG + 의/JKG
흥분과	흥분/NNG + 과/JC
감격에	감격/NNG + 에/JKB
들떠있는	들뜨/VV + 어/EC + 있/VX + 는/ETM
상황에서	상황/NNG + 에서/JKB
빚어진	빚어지/VV + ㄴ/ETM
사태이기에	사태/NNG + 이/VCP + 기에/EC
충격이	충격/NNG + 이/JKS
더	더/MAG
큰	크/VA + ㄴ/ETM
듯했다.	듯/NNB + 하/XSA + 았/EP + 다/EF + ./SF

"북한에	"/SS + 북한/NNP + 에/JKB
쌀	쌀/NNG
퍼주고	푸/VV + 어/EC + 주/VX + 고/EC
무기	무기/NNG
사도록	사/VV + 도록/EC
돈	돈/NNG
대준	대/VV + 어/EC + 주/VX + ㄴ/ETM
대가가	대가/NNG + 가/JKS
고작	고작/MAG
이것이냐"며	이것/NP + 이/VCP + 냐/EC + "/SS + 며/EC
현	현/MM
정부의	정부/NNG + 의/JKG
햇볕정책을	햇볕/NNG + 정책/NNG + 을/JKO
정면에서	정면/NNG + 에서/JKB
비난하는	비난/NNG + 하/XSV + 는/ETM
독자들도	독자/NNG + 들/XSN + 도/JX
많았다.	많/VA + 았/EP + 다/EF + ./SF

아무리	아무리/MAG
햇볕정책도	햇볕/NNG + 정책/NNG + 도/JX
좋지만,	좋/VA + 지만/EC + ,/SP
"해도	"/SS + 하/XSV + 아도/EC
너무	너무/MAG
한다"는	하/VV + ㄴ다/EC + "/SS + 는/ETM
분노의	분노/NNG + 의/JKG
목소리가	목소리/NNG + 가/JKS
봇물처럼	봇물/NNG + 처럼/JKB
터져	터지/VV + 어/EC
나왔다.	나오/VV + 았/EP + 다/EF + ./SF

북한의	북한/NNP + 의/JKG
서해도발은	서해/NNP + 도발/NNG + 은/JX
마침	마침/MAG
한국과	한국/NNP + 과/JC
터키의	터키/NNP + 의/JKG
월드컵	월드컵/NNG
3·4위전을	3/SN + ·/SP + 4/SN + 위/NNB + 전/NNG + 을/JKO
응원하기	응원/NNG + 하/XSV + 기/ETN
위해	위하/VV + 아/EC
사람들이	사람/NNG + 들/XSN + 이/JKS
거리를	거리/NNG + 를/JKO
메우기	메우/VV + 기/ETN
시작하던	시작/NNG + 하/XSV + 던/ETM
29일	29/SN + 일/NNB
오전에	오전/NNG + 에/JKB
발생했다.	발생/NNG + 하/XSV + 았/EP + 다/EF + ./SF

바로	바로/MAG
그	그/MM
시각,	시각/NNG + ,/SP
서울에서	서울/NNP + 에서/JKB
불과	불과/MAG
몇	몇/MM
십km	십/NR + km/SL
떨어진	떨어지/VV + ㄴ/ETM
서해상에서는	서해/NNP + 상/XSN + 에서/JKB + 는/JX
같은	같/VA + 은/ETM
또래의	또래/NNG + 의/JKG
청년들이	청년/NNG + 들/XSN + 이/JKS
북한	북한/NNP
경비정의	경비정/NNG + 의/JKG
기습	기습/NNG
사격에	사격/NNG + 에/JKB
피흘리며	피/NNG + 흘리/VV + 며/EC
쓰러졌다.	쓰러지/VV + 었/EP + 다/EF + ./SF

바다에서	바다/NNG + 에서/JKB
