지나간	지나가/VV + ㄴ/ETM
80년대의	80/SN + 년대/NNB + 의/JKG
한국	한국/NNP
경제는	경제/NNG + 는/JX
제	제/MM
2차	2/SN + 차/NNB
석유	석유/NNG
파동의	파동/NNG + 의/JKG
후유증을	후유증/NNG + 을/JKO
격심하게	격심/XR + 하/XSA + 게/EC
앓으면서	앓/VV + 으면서/EC
암울하게	암울/NNG + 하/XSA + 게/EC
출발했지만,	출발/NNG + 하/XSV + 았/EP + 지만/EC + ,/SP
G5	G/SL + 5/SN
합의	합의/NNG
이후	이후/NNG
3저	3/SN + 저/XSN
시대의	시대/NNG + 의/JKG
도래라는	도래/NNG + 이/VCP + 라는/ETM
외적인	외/NNG + 적/XSN + 이/VCP + ㄴ/ETM
호재를	호재/NNG + 를/JKO
발판으로	발판/NNG + 으로/JKB
단숨에	단숨에/MAG
제	제/MM
2의	2/SN + 의/JKG
도약이	도약/NNG + 이/JKS
가능했다.	가능/NNG + 하/XSA + 았/EP + 다/EF + ./SF

이	이/MM
뜻밖의	뜻밖/NNG + 의/JKG
호재는	호재/NNG + 는/JX
우리	우리/NP
경제의	경제/NNG + 의/JKG
수출	수출/NNG
지향적	지향/NNG + 적/XSN
탄력성을	탄력/NNG + 성/XSN + 을/JKO
유감	유감/NNG
없이	없이/MAG
발휘케	발휘/NNG + 하/XSV + 게/EC
만들어,	만들/VV + 어/EC + ,/SP
한때	한때/NNG
우리는	우리/NP + 는/JX
믿기지	믿기/VV + 지/EC
않는	않/VX + 는/ETM
경상	경상/NNG
잉여국으로	잉여국/NNG + 으로/JKB
탈바꿈하기도	탈바꿈/NNG + 하/XSV + 기/ETN + 도/JX
했다.	하/VX + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
이	이/MM
잠시	잠시/MAG
동안의	동안/NNG + 의/JKG
3저	3/SN + 저/XSN
호황은	호황/NNG + 은/JX
우리	우리/NP
경제의	경제/NNG + 의/JKG
구조적	구조/NNG + 적/XSN
고도화를	고도/NNG + 화/XSN + 를/JKO
구상하고	구상/NNG + 하/XSV + 고/EC
실천하려는	실천/NNG + 하/XSV + 려는/ETM
노력이나	노력/NNG + 이나/JC
시간을	시간/NNG + 을/JKO
채	채/MAG
허락하지	허락/NNG + 하/XSV + 지/EC
않은	않/VX + 은/ETM
채	채/NNB
지나가면서,	지나가/VV + 면서/EC + ,/SP
더	더/MAG
크고	크/VA + 고/EC
새로운	새롭/VA + ㄴ/ETM
시련을	시련/NNG + 을/JKO
불러	부르/VV + 어/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

권위주의의	권위주의/NNG + 의/JKG
쇠퇴와	쇠퇴/NNG + 와/JKB
함께	함께/MAG
불공정,	불/XPN + 공정/NNG + ,/SP
불평등,	불/XPN + 평등/NNG + ,/SP
불균형을	불/XPN + 균형/NNG + 을/JKO
더이상	더/MAG + 이상/NNG
용인해서는	용인/NNG + 하/XSV + 아서/EC + 는/JX
안된다는	안/MAG + 되/XSV + ㄴ다는/ETM
강력한	강력/XR + 하/XSA + ㄴ/ETM
사회적	사회/NNG + 적/XSN
요구가	요구/NNG + 가/JKS
제시되면서	제시/NNG + 되/XSV + 면서/EC
경제는	경제/NNG + 는/JX
안팎의	안팎/NNG + 의/JKG
한계와	한계/NNG + 와/JC
도전을	도전/NNG + 을/JKO
동시에	동시/NNG + 에/JKB
극복해야	극복/NNG + 하/XSV + 아야/EC
할	하/VX + ㄹ/ETM
어려운	어렵/VA + ㄴ/ETM
궁지에	궁지/NNG + 에/JKB
빠졌다.	빠지/VV + 었/EP + 다/EF + ./SF

80년대	80/SN + 년대/NNB
후반의	후반/NNG + 의/JKG
경험은	경험/NNG + 은/JX
우리	우리/NP
경제가	경제/NNG + 가/JKS
이	이/MM
어려운	어렵/VA + ㄴ/ETM
숙제를	숙제/NNG + 를/JKO
해결하는	해결/NNG + 하/XSV + 는/ETM
능력을	능력/NNG + 을/JKO
의심받게	의심/NNG + 받/VV + 게/EC
만듦으로써	만들/VV + ㅁ/ETN + 으로써/JKB
모두를	모두/NNG + 를/JKO
좌절케	좌절/NNG + 하/XSV + 게/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

더욱	더욱/MAG
이	이/NP
같은	같/VA + 은/ETM
좌절과	좌절/NNG + 과/JC
침체를	침체/NNG + 를/JKO
부채질한	부채/NNG + 질/XSN + 하/XSV + ㄴ/ETM
것은	것/NNB + 은/JX
혼돈과	혼돈/NNG + 과/JC
무지향의	무/XPN + 지향/NNG + 의/JKG
정치판으로,	정치판/NNG + 으로/JKB + ,/SP
경제의	경제/NNG + 의/JKG
표류와	표류/NNG + 와/JC
누수를	누수/NNG + 를/JKO
정치	정치/NNG
혼돈이	혼돈/NNG + 이/JKS
가속화시켰다.	가속/NNG + 화/XSN + 시키/XSV + 었/EP + 다/EF + ./SF

정치는	정치/NNG + 는/JX
경제를	경제/NNG + 를/JKO
외면하고,	외면/NNG + 하/XSV + 고/EC + ,/SP
정부는	정부/NNG + 는/JX
정치와	정치/NNG + 와/JC
